smiles	randomized_smiles
O=C(CCn1cncn1)NC[C@@H]1CCN(C(=O)c2ccccc2)[C@H]1c1cccnc1	c1ccc(C(N2CC[C@@H](CNC(CCn3cncn3)=O)[C@@H]2c2cccnc2)=O)cc1
C[C@@H](NCCCO)[C@H]1CCCN(C(=O)CN(C)C2CCC2)C1	C1C(N(C)CC(=O)N2C[C@@H]([C@H](NCCCO)C)CCC2)CC1
CCCCn1nccc1NC(=O)c1cc(S(N)(=O)=O)cn1C	c1(S(=O)(N)=O)cn(C)c(C(=O)Nc2ccnn2CCCC)c1
C[C@H](NC=O)C(=O)N1C[C@@H]2COC[C@H](C1)[C@@H]2NC(=O)[C@@H]1CCN(C(=O)OC(C)(C)C)C1	O=C(N1C[C@H]2[C@@H](NC(=O)[C@H]3CN(C(=O)OC(C)(C)C)CC3)[C@H](COC2)C1)[C@H](C)NC=O
COC(=O)[C@H]1[C@@H](C(=O)N[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(N)=O)[C@H]2C=C[C@H]1C2	[C@H]12C[C@H](CC1)[C@@H](NC(=O)[C@@H]1[C@H](C(=O)OC)[C@H]3C=C[C@H]1C3)[C@H]2C(=O)N
COC(=O)c1cc(NC(=O)[C@@H]2[C@@H]3CCC(=O)[C@H]32)n(C)n1	c1c(C(=O)OC)nn(C)c1NC(=O)[C@@H]1[C@H]2[C@H]1C(=O)CC2
COCCN(C)CCCNC(=O)CN(CCc1ccccc1)C(C)=O	C(CNC(=O)CN(C(=O)C)CCc1ccccc1)CN(C)CCOC
CN(C)S(=O)(=O)N[C@H]1CC=CCC1	C1=CC[C@H](NS(=O)(N(C)C)=O)CC1
O=C(NC1CCN(C[C@H]2CCCOC2)CC1)c1ccc(Cl)[nH]1	C([C@H]1CCCOC1)N1CCC(NC(c2ccc(Cl)[nH]2)=O)CC1
CC(C)[C@@H](O)C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)c3cc(-c4cc(F)cc(F)c4)[nH]n3)C[C@@H]21	C([C@@H](C(C)C)O)(NC[C@H]1[C@H]2CN(C(=O)c3n[nH]c(-c4cc(F)cc(F)c4)c3)CC[C@H]2CO1)=O
N#CCN1CC[C@@H]2[C@@H]1CCCN2C(=O)c1cccc([C@@H]2CCOC2)c1	O=C(N1[C@H]2[C@H](CCC1)N(CC#N)CC2)c1cccc([C@@H]2CCOC2)c1
CC(C)CCNCCNC(=O)c1ccc(O)nc1	CC(C)CCNCCNC(c1cnc(O)cc1)=O
CC(C)(C)OC(=O)N1C[C@H](C(=O)N2C[C@@H]3COC[C@H](C2)[C@@H]3NC(=O)C(C)(C)C)[C@H]2OCC[C@H]21	[C@@H]1(C(=O)N2C[C@@H]3[C@H](NC(C(C)(C)C)=O)[C@@H](COC3)C2)[C@H]2OCC[C@H]2N(C(OC(C)(C)C)=O)C1
CCOCCN1C[C@H](C)C[C@H]1C	O(CCN1[C@H](C)C[C@@H](C)C1)CC
C[C@H]1COC(C)(C)CN1c1nnc([C@H]2CCS(=O)(=O)C2)n1C[C@@H](C)N1CCC[C@@H](C)C1	C1CS(=O)(=O)C[C@H]1c1nnc(N2CC(C)(C)OC[C@@H]2C)n1C[C@H](N1C[C@H](C)CCC1)C
Cl/C=C/CNC[C@H]1CCCOC1	C(/C=C/Cl)NC[C@H]1CCCOC1
CNC(=O)c1ccc(C(=O)OCCN2CCCCC2)cn1	N(C(c1ccc(C(OCCN2CCCCC2)=O)cn1)=O)C
O=C(CCNCc1nc(CN2CCCCC2)no1)Nc1ccc(Cl)cc1	c1c(Cl)ccc(NC(=O)CCNCc2onc(CN3CCCCC3)n2)c1
C[C@H](C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)CCc3ccccc3F)C[C@@H]21)N(C)C(=O)OC(C)(C)C	N1(C(CCc2c(F)cccc2)=O)C[C@@H]2[C@H](CNC(=O)[C@H](N(C(=O)OC(C)(C)C)C)C)OC[C@@H]2CC1
Cn1cnc(C=NOC[C@H]2CCOC2)c1	c1n(C)cnc1C=NOC[C@H]1CCOC1
CCC[C@@H](NC(=O)C1CCN(c2ccc(S(=O)(=O)N3CCOCC3)cc2[N+](=O)[O-])CC1)c1ccccc1	C1(C(=O)N[C@H](CCC)c2ccccc2)CCN(c2c([N+]([O-])=O)cc(S(=O)(=O)N3CCOCC3)cc2)CC1
CC[C@@H]1[C@@H](NC(=O)c2cc3cc(OC)ccc3[nH]2)CCN1C(=O)CC(C)C	[C@H]1(NC(=O)c2[nH]c3c(cc(OC)cc3)c2)CCN(C(=O)CC(C)C)[C@@H]1CC
CCn1nc(C)c(C(=O)NC2CN(C(=O)CCc3ccccc3)C2)n1	C(CC(=O)N1CC(NC(c2c(C)nn(CC)n2)=O)C1)c1ccccc1
CC#CCN[C@@H]1C[C@@]2(C[C@H]1O)CN(C(=O)c1cnc(C)nc1C)[C@H]2C(C)C	O[C@@H]1C[C@@]2(C[C@H]1NCC#CC)[C@H](C(C)C)N(C(c1c(C)nc(C)nc1)=O)C2
O=C(NCc1cn[nH]c1)c1nccc(Cl)c1Cl	c1(Cl)c(C(NCc2c[nH]nc2)=O)nccc1Cl
CC(C)c1cccc(C(=O)N[C@@H]2CN(C(=O)CCn3cccn3)C[C@H]2C)c1	n1(CCC(N2C[C@@H](NC(c3cc(C(C)C)ccc3)=O)[C@H](C)C2)=O)nccc1
Cc1nc(C(C)(C)NC(=O)c2ccc(S(=O)(=O)N3CCCCCC3)cc2)sc1C	C1CN(S(=O)(=O)c2ccc(C(NC(c3sc(C)c(C)n3)(C)C)=O)cc2)CCCC1
CCc1nc(C(=O)NC[C@H]2CCN(C(=O)[C@H]3CCCN3C(=O)OC(C)(C)C)[C@@H]2c2cccnc2)co1	C1[C@H](CNC(=O)c2coc(CC)n2)[C@@H](c2cccnc2)N(C(=O)[C@H]2CCCN2C(=O)OC(C)(C)C)C1
CCOc1ccc(C(=O)OC/C=C\Cl)cc1	C(\COC(=O)c1ccc(OCC)cc1)=C\Cl
O=C(Nc1ccc(N2CCNCC2)cn1)c1cc(Br)cnc1O	c1nc(NC(c2cc(Br)cnc2O)=O)ccc1N1CCNCC1
CCOc1c(F)cc(C(=O)N[C@@H]2[C@H]3COC[C@@H]2CN(C(=O)c2nc4ncccn4n2)C3)cc1Cl	[C@@H]12CN(C(=O)c3nn4cccnc4n3)C[C@@H]([C@H]1NC(c1cc(F)c(OCC)c(Cl)c1)=O)COC2
CN(C)CCC(=O)N1CCCC[C@H]1C1CCN(C(=O)[C@H]2[C@H]3CN(C(=O)OC(C)(C)C)C[C@H]32)CC1	N1(C(OC(C)(C)C)=O)C[C@@H]2[C@H](C(=O)N3CCC([C@H]4N(C(=O)CCN(C)C)CCCC4)CC3)[C@@H]2C1
CC1(C)CN(C(=O)[C@@H]2[C@H]3COC[C@H]32)C[C@H]1NC(=O)C[C@H]1CCNC1=O	[C@@H]1(CC(N[C@H]2C(C)(C)CN(C(=O)[C@H]3[C@H]4[C@@H]3COC4)C2)=O)C(=O)NCC1
CSc1ccnc(N[C@@H](CCN(C)C(=O)C#CC2CC2)C(C)C)n1	S(c1ccnc(N[C@H](C(C)C)CCN(C(C#CC2CC2)=O)C)n1)C
C=C(CC)CNC(=O)NCCn1cc(Br)ccc1=O	C(CC)(CNC(NCCn1cc(Br)ccc1=O)=O)=C
CN(C)Cc1cn(CCOCCOCCO)nn1	O(CCOCCO)CCn1nnc(CN(C)C)c1
COC(=O)[C@@H](CC(=O)NC[C@H]1CCN(C(=O)[C@@H]2C[C@@H]2F)[C@H]1c1cccnc1)NC(=O)OC(C)(C)C	N(C(=O)C[C@@H](NC(=O)OC(C)(C)C)C(=O)OC)C[C@@H]1[C@H](c2cnccc2)N(C(=O)[C@H]2[C@@H](F)C2)CC1
Cc1ccoc1C(=O)N1C[C@@H]2COC[C@H](C1)[C@@H]2NC(=O)c1cc([N+](=O)[O-])cc2c1OCC2	C(c1occc1C)(=O)N1C[C@@H]2[C@H](NC(c3c4c(cc([N+](=O)[O-])c3)CCO4)=O)[C@H](C1)COC2
C[C@H](Nc1nccs1)C(=O)NC[C@@H]1CCN(C(=O)[C@H](N)c2cccc(Cl)c2)[C@@H]1c1cccnc1	C[C@@H](C(=O)NC[C@@H]1CCN(C(=O)[C@H](N)c2cccc(Cl)c2)[C@@H]1c1cnccc1)Nc1sccn1
CC1(CN2CC[C@H]2CO)COC1	C1N(CC2(C)COC2)[C@H](CO)C1
CCN1CCC[C@H]1CN(Cc1ccncc1)C(=O)N[C@H]1CC(=O)N(C)[C@@H]1c1ccc(F)c(F)c1	c1cc(CN(C(N[C@H]2CC(=O)N(C)[C@@H]2c2cc(F)c(F)cc2)=O)C[C@@H]2CCCN2CC)ccn1
COC(=O)CN1C(=S)N(c2ccc(Cl)cc2)C(=O)/C1=C/c1cc(Br)ccc1OCc1ccc(Cl)c(Cl)c1	c1cc(COc2ccc(Br)cc2/C=C2\N(CC(OC)=O)C(=S)N(c3ccc(Cl)cc3)C2=O)cc(Cl)c1Cl
CC(C)(C)OC(=O)N1C[C@H]2CC[C@@H](C1)[C@@H]2C(=O)N1[C@H]2CC[C@@H]1C[C@H](NC(=O)c1ccno1)C2	N1(C(=O)[C@@H]2[C@@H]3CC[C@H]2CN(C(OC(C)(C)C)=O)C3)[C@@H]2CC[C@H]1C[C@@H](NC(=O)c1ccno1)C2
Cc1cccc(COc2cccc(CC(=O)N3CCC[C@@H](CNS(N)(=O)=O)C3)c2)c1	C(N1C[C@H](CNS(=O)(N)=O)CCC1)(Cc1cccc(OCc2cccc(C)c2)c1)=O
COC(=O)c1cccc(NC(=O)[C@@H]2CN(S(=O)(=O)c3ccc(C)cc3)c3ccc(C)cc3O2)c1C	C1[C@@H](C(Nc2c(C)c(C(OC)=O)ccc2)=O)Oc2cc(C)ccc2N1S(c1ccc(C)cc1)(=O)=O
CN(CC(=O)NCCN1CCCc2ccccc21)c1nc2ccccc2s1	C(N(c1nc2c(s1)cccc2)C)C(=O)NCCN1CCCc2c1cccc2
CC(=O)N[C@@H](C)C(=O)Nc1nc2c(s1)C[C@H](NC(=O)c1c(Cl)cccc1Cl)CC2	Clc1c(C(N[C@H]2Cc3sc(NC(=O)[C@H](C)NC(=O)C)nc3CC2)=O)c(Cl)ccc1
CC[C@H](CNC(=O)c1cc(C)on1)NC(=O)c1ccc(C)o1	[C@@H](NC(=O)c1ccc(C)o1)(CC)CNC(=O)c1noc(C)c1
CCS(=O)(=O)NCCc1ccc(C(F)(F)F)cn1	S(=O)(CC)(=O)NCCc1ccc(C(F)(F)F)cn1
CC[C@@H](C)[C@@H](O)C(=O)N1CCCC2(CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)[C@@H](C)OC)CC2)C1	C([C@@H](NC(OC(C)(C)C)=O)[C@H](OC)C)(N1CCC2(CCCN(C([C@@H]([C@H](C)CC)O)=O)C2)CC1)=O
NC(=O)c1ccc(CC(=O)N2C[C@@H](O)[C@H](NC(=O)[C@@H]3CCOC3)C2)cn1	C1COC[C@@H]1C(N[C@@H]1CN(C(Cc2cnc(C(=O)N)cc2)=O)C[C@H]1O)=O
CC(C)(C)OC(=O)N[C@H]1C=C[C@@H](C(=O)N2CC[C@H]3[C@@H]2CCN3C(=O)[C@@H]2CCc3ccccc32)C1	O=C([C@H]1C[C@@H](NC(=O)OC(C)(C)C)C=C1)N1[C@H]2CCN(C(=O)[C@@H]3CCc4c3cccc4)[C@H]2CC1
COc1cc(OC)cc(C(=O)N[C@H]2C[C@@H](NCc3ccon3)C2)c1	c1(CN[C@H]2C[C@@H](NC(c3cc(OC)cc(OC)c3)=O)C2)ccon1
COC(=O)[C@@H]1CN(C(=O)[C@]2(C(=O)OC(C)(C)C)CC=CCC2)C[C@@H]1C(=O)O	C([C@@]1(C(=O)OC(C)(C)C)CCC=CC1)(=O)N1C[C@H](C(O)=O)[C@H](C(=O)OC)C1
C[C@@H]1C[C@@H](C)CN(C(=O)CN[C@H]2C[C@@H](NC(=O)[C@@H]3C[C@@H]4C[C@@H]4C3)C2)C1	[C@@H]1(C(=O)N[C@H]2C[C@@H](NCC(N3C[C@H](C)C[C@@H](C)C3)=O)C2)C[C@@H]2C[C@@H]2C1
CC(C)C(=O)NC[C@@]1(NC(=O)CCC(C)(F)F)CCCC[C@@H]1C	CC(F)(F)CCC(N[C@@]1(CNC(=O)C(C)C)[C@@H](C)CCCC1)=O
O=C(N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)c1ccc3nccn3c1)C2)c1ccc(N2CCCCC2)cc1	c1(C(N2C[C@@H]3COC[C@H](C2)[C@@H]3NC(c2ccc(N3CCCCC3)cc2)=O)=O)cn2ccnc2cc1
C[C@H](CC(N)=O)C(=O)N1CCCC[C@H]1C1CCN(C(=O)CCc2c[nH]c3ncccc23)CC1	c1cc2c(CCC(=O)N3CCC([C@H]4N(C(=O)[C@H](C)CC(N)=O)CCCC4)CC3)c[nH]c2nc1
COc1ccc(NC(=O)CCN2CC[C@@H](CO)C2)cc1	[C@@H]1(CO)CCN(CCC(=O)Nc2ccc(OC)cc2)C1
CN(C)C(=O)c1cc(F)cnc1O	c1(F)cnc(O)c(C(=O)N(C)C)c1
Cc1occc1C(=O)N1CCC(NCC(=O)NC(N)=O)CC1	N(C(CNC1CCN(C(c2ccoc2C)=O)CC1)=O)C(N)=O
CNc1nsnc1C(=O)N[C@@H]1C[C@@H]2CC[C@H](C1)N2C(=O)[C@H]1CC(c2ccccc2)=NN1	[C@H]12C[C@H](NC(c3c(NC)nsn3)=O)C[C@H](CC1)N2C([C@@H]1NN=C(c2ccccc2)C1)=O
CCCn1nnnc1N(C1CC1)C1CC1	C(CC)n1c(N(C2CC2)C2CC2)nnn1
O=C(N[C@@H]1CN(C(=O)[C@@H]2[C@H]3[C@@H]4CC[C@@H](C4)[C@H]32)C[C@@H]1O)c1c[nH]c(-c2nn[nH]n2)c1	N([C@H]1[C@@H](O)CN(C(=O)[C@@H]2[C@H]3[C@@H]4CC[C@H]([C@H]32)C4)C1)C(c1cc(-c2n[nH]nn2)[nH]c1)=O
CC[C@H](C)[C@](C)(O)Cn1c([C@H]2CN(S(C)(=O)=O)CCO2)nnc1N1CC[C@H](S(C)(=O)=O)C1	S(=O)(N1C[C@H](c2n(C[C@](C)([C@@H](C)CC)O)c(N3CC[C@H](S(=O)(=O)C)C3)nn2)OCC1)(=O)C
CCOC(=O)c1cnn(C2CCN(C(=O)C[C@@H](NC(N)=O)c3cccc(C)c3)CC2)c1	n1n(C2CCN(C(=O)C[C@H](c3cc(C)ccc3)NC(N)=O)CC2)cc(C(=O)OCC)c1
Cc1nc(NC(=O)c2cnc(C(F)(F)F)c(C#N)c2)nc2c1CCCC2	FC(F)(F)c1ncc(C(Nc2nc(C)c3c(n2)CCCC3)=O)cc1C#N
O=C(Cc1cc2cccnc2cc1F)Nc1cc([C@H]2CCCCN2C(=O)[C@H]2CCC(F)(F)C2)[nH]n1	n1c2c(ccc1)cc(CC(=O)Nc1n[nH]c([C@@H]3N(C(=O)[C@@H]4CC(F)(F)CC4)CCCC3)c1)c(F)c2
Cc1ccc(CC(C)(C)Nc2cnccn2)cc1	C(C(C)(C)Nc1cnccn1)c1ccc(C)cc1
Cc1nn(C)c(C(=O)NC[C@@H]2CCN(C(=O)[C@H](C)[C@@H]3SC(=N)NC3=O)[C@H]2c2cccnc2)c1F	C1(=N)S[C@@H]([C@@H](C)C(=O)N2CC[C@@H](CNC(c3c(F)c(C)nn3C)=O)[C@@H]2c2cccnc2)C(=O)N1
COc1cc(C(=O)N2CC[C@@H](CNC(=O)c3cc(F)cc([N+](=O)[O-])c3)[C@H]2c2cccnc2)ccc1C	c1c([N+](=O)[O-])cc(C(=O)NC[C@H]2[C@@H](c3cccnc3)N(C(=O)c3cc(OC)c(C)cc3)CC2)cc1F
O=C(N[C@@H]1CN(C(=O)c2cccc3c[nH]nc23)C[C@@H]1O)[C@@H]1C[C@H]1c1cnc[nH]1	n1c[nH]c([C@@H]2C[C@H]2C(N[C@@H]2CN(C(=O)c3c4c(ccc3)c[nH]n4)C[C@@H]2O)=O)c1
CCOC(=O)c1sc(NC(=O)CN2[C@@H](C)CCC[C@@H]2C)cc1C	C(CN1[C@@H](C)CCC[C@@H]1C)(=O)Nc1sc(C(=O)OCC)c(C)c1
CCC1(Cn2c([C@@H](C)NS(C)(=O)=O)nnc2N2CCC[C@H](CN(C)S(C)(=O)=O)C2)CCC1	C(C1(CC)CCC1)n1c([C@@H](C)NS(=O)(=O)C)nnc1N1CCC[C@H](CN(S(=O)(C)=O)C)C1
CCS(=O)(=O)c1cc(Cl)cc(CNC(=O)N2CCC[C@H]2c2ccsc2)c1	C(c1cc(Cl)cc(S(=O)(=O)CC)c1)NC(=O)N1CCC[C@H]1c1ccsc1
C#CCO[C@H](C)C(=O)NC[C@@H]1CCN(C(=O)c2ccc3c(c2)SCC(=O)N3)[C@@H]1c1cccnc1	C1Sc2cc(C(=O)N3[C@H](c4cccnc4)[C@H](CNC([C@@H](C)OCC#C)=O)CC3)ccc2NC1=O
Cc1cc(Cl)ccc1O[C@@H](C)C(=O)N1CC(n2cc([C@H](C)O)nn2)C1	c1c(C)c(O[C@H](C(N2CC(n3cc([C@@H](O)C)nn3)C2)=O)C)ccc1Cl
Cc1cnn(-c2ccc(NCc3cnc(C(C)(C)C)s3)cc2F)c1	c1(CNc2cc(F)c(-n3cc(C)cn3)cc2)cnc(C(C)(C)C)s1
CC[C@H](C)n1nccc1C(=O)N[C@@H](c1cnn(C)c1)c1ncon1	c1c(C(N[C@H](c2nocn2)c2cn(C)nc2)=O)n([C@@H](C)CC)nc1
CSC(C)(C)CNC(=O)c1cc(Cl)cc(Br)c1	c1(C(=O)NCC(C)(C)SC)cc(Br)cc(Cl)c1
O=C(Nc1nccc2ccccc12)[C@@H]1CCc2nnnn2CC1	n1nnn2c1CC[C@@H](C(=O)Nc1nccc3ccccc31)CC2
Cc1ncsc1C=NNC[C@@H](C)C#N	n1csc(C=NNC[C@H](C#N)C)c1C
C[C@H](Oc1cc(Cl)cc(Cl)c1)C(=O)N1CCCSC1	[C@@H](C(N1CCCSC1)=O)(C)Oc1cc(Cl)cc(Cl)c1
CCCN1CC[C@@H]2CCN(C(=O)c3ccnc(OC(C)C)c3)C[C@H]21	[C@@H]12CCN(C(c3ccnc(OC(C)C)c3)=O)C[C@H]1N(CCC)CC2
C[C@H](CO)NS(=O)(=O)c1ccc(C(=O)OCC(=O)c2cnn(-c3ccccc3)c2)cc1	C[C@@H](NS(=O)(c1ccc(C(=O)OCC(=O)c2cn(-c3ccccc3)nc2)cc1)=O)CO
COC1(CCN2CCc3ccsc3C2)CCC1	c12c(ccs1)CCN(CCC1(OC)CCC1)C2
O=C(Cc1ccsc1)NC1CC(C(F)(F)F)C1	FC(C1CC(NC(Cc2ccsc2)=O)C1)(F)F
CC[C@@H]1[C@@H](C)CCN1c1nnc(CCc2ccccc2)n1C[C@H]1CCCN1S(C)(=O)=O	c1ccc(CCc2n(C[C@@H]3N(S(=O)(=O)C)CCC3)c(N3CC[C@H](C)[C@H]3CC)nn2)cc1
CC#C[C@@H](CC(=O)N1CC[C@@]2(C1)CN(C(=O)c1c[nH]c(C(C)(C)C)c1)CCO2)c1ccc(O)cc1	C([C@@H](CC(N1C[C@@]2(CC1)OCCN(C(=O)c1c[nH]c(C(C)(C)C)c1)C2)=O)c1ccc(O)cc1)#CC
O=C(N[C@@H]1COC2(C1)CN(C(=O)CCCN1CCCC1)C2)[C@@H]1C[C@@H]2O[C@H]1[C@H]1C[C@@H]21	C1N(C(CCCN2CCCC2)=O)CC12OC[C@@H](NC(=O)[C@H]1[C@H]3O[C@H]([C@@H]4C[C@@H]43)C1)C2
Clc1cccc(OCc2ncc(Br)s2)c1	O(c1cc(Cl)ccc1)Cc1sc(Br)cn1
Cc1ncc(CN2CCC(N3Cc4ccccc4C3=O)CC2)o1	Cc1ncc(CN2CCC(N3Cc4c(cccc4)C3=O)CC2)o1
CCOCCC(=O)NCc1c(O)ccc2c1CCCC2	C1CCCc2c(CNC(=O)CCOCC)c(O)ccc21
Cc1cnc(CN2CC[C@H](CNC(=O)c3ccc(CF)cc3)C2)s1	C1CN(Cc2ncc(C)s2)C[C@H]1CNC(c1ccc(CF)cc1)=O
O=C([C@H]1C[C@@]12C(=O)Nc1ccccc12)N1CCO[C@@]2(CCN(C(=O)C34CC(c5ccccc5)(C3)C4)C2)C1	c1ccc2c(c1)[C@]1(C[C@@H]1C(=O)N1C[C@]3(CCN(C(=O)C45CC(c6ccccc6)(C4)C5)C3)OCC1)C(=O)N2
Fc1ccc(CNCC2CC3(C2)OCCO3)cc1	C(c1ccc(F)cc1)NCC1CC2(OCCO2)C1
CC(=O)Nc1cc(C(=O)N2CCC([C@@H]3CCCCN3C(=O)[C@H]3CNc4ccccc43)CC2)ccn1	C1[C@@H](C2CCN(C(=O)c3cc(NC(C)=O)ncc3)CC2)N(C([C@H]2CNc3ccccc32)=O)CCC1
CSCC1CCN(S(=O)(=O)c2ccc([N+](=O)[O-])c3cccnc23)CC1	O=S(=O)(c1c2ncccc2c([N+](=O)[O-])cc1)N1CCC(CSC)CC1
O=C1CSc2cc(C(=O)N[C@@H]3C[C@@H]4CC[C@H](C3)N4C(=O)c3ccc(-c4cc[nH]n4)cc3)ccc2N1	O=C(c1cc2c(cc1)NC(=O)CS2)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1ccc(-c2cc[nH]n2)cc1
Cc1ccc(C2CC2)c(C(=O)N[C@H]2CCN(C(=O)[C@@H]3C[C@H]4CC[C@@H]3O4)[C@H]2C)c1	N(C(c1c(C2CC2)ccc(C)c1)=O)[C@@H]1[C@H](C)N(C(=O)[C@@H]2C[C@@H]3O[C@H]2CC3)CC1
CCc1cc(C(=O)N[C@@H]2C[C@H]3CC[C@@H]2N3C(=O)C[C@H]2CCC(=O)N2)n[nH]1	C(=O)(N1[C@H]2CC[C@@H]1C[C@H]2NC(=O)c1n[nH]c(CC)c1)C[C@H]1CCC(=O)N1
CCN(c1nnc([C@@H]2CCCN(C(=O)OC(C)(C)C)C2)n1Cc1ccc(COC)cc1)C(C)C	c1(Cn2c(N(CC)C(C)C)nnc2[C@H]2CN(C(=O)OC(C)(C)C)CCC2)ccc(COC)cc1
Cc1nc2cc(NC(=O)C(=O)N[C@H]3C[C@H](C)N(Cc4ccccc4)C3)ccc2n1C	c1c(NC(C(=O)N[C@@H]2CN(Cc3ccccc3)[C@@H](C)C2)=O)cc2nc(C)n(C)c2c1
C[C@H](C(=O)N(C)[C@H]1CC1(C)C)c1ccc2ccccc2c1	O=C(N(C)[C@H]1CC1(C)C)[C@@H](C)c1cc2ccccc2cc1
O=C(N[C@@H]1C[C@@H]2CC[C@H](C1)N2C(=O)Cc1cc([N+](=O)[O-])ccc1F)c1c[nH]c2c(Cl)cccc12	[nH]1cc(C(=O)N[C@H]2C[C@@H]3N(C(=O)Cc4cc([N+]([O-])=O)ccc4F)[C@H](C2)CC3)c2cccc(Cl)c12
CCC(=O)CCSc1cccc(Br)c1	CCC(CCSc1cccc(Br)c1)=O
CNS(=O)(=O)CCN(CC#N)C1CCCC1	C(N(C1CCCC1)CCS(=O)(=O)NC)C#N
C#CCO[C@H](C)C(=O)N1CCOC[C@@]2(CN(C(=O)[C@@H](NC(=O)OC(C)(C)C)[C@@H](C)CC)CCO2)C1	CC(C)(OC(N[C@H](C(N1C[C@@]2(COCCN(C(=O)[C@H](OCC#C)C)C2)OCC1)=O)[C@@H](C)CC)=O)C
CC(C)(C(=O)O)[C@H](NC(=O)N1CCC[C@H](OC2CCC2)C1)c1ccccc1	C1CC[C@H](OC2CCC2)CN1C(=O)N[C@H](c1ccccc1)C(C)(C(=O)O)C
COCCN(CCOC)S(=O)(=O)N[C@H]1CC(=O)N(C(C)(C)C)C1	C(CN(S(=O)(N[C@H]1CC(=O)N(C(C)(C)C)C1)=O)CCOC)OC
CSc1cc(Cl)ccc1NC(=O)N1CCC(C)(F)CC1	C1N(C(Nc2ccc(Cl)cc2SC)=O)CCC(C)(F)C1
CCCCC[C@H](C)C(=O)N1CCCC[C@@H]1c1cc(NC(=O)CCc2cccnc2OC)n[nH]1	C(CC(=O)Nc1cc([C@H]2CCCCN2C(=O)[C@@H](C)CCCCC)[nH]n1)c1cccnc1OC
O=S(=O)(c1cccc(S(=O)(=O)N2CCN3CC(F)(F)C[C@H]3C2)c1)N1CCCCC1	N1(S(=O)(c2cccc(S(=O)(=O)N3C[C@H]4N(CC(F)(F)C4)CC3)c2)=O)CCCCC1
